Appetizers,Premium,,Mains,Premium,,Sides,Premium,,Platters & Boards,Description,Premium,,"Soups &
Salads",Premium,,Bar/Beverage,Description,Premium,,Kids Menu,Option,,Rental / Extra,Description,Premium,,,,,,Services,Premium,Mains,Sides,Staff,Description,,Extras,,,Vendor Meals,Option,,,,Brunch,Option
Swedish Meatballs,5.00,,Cauliflower Steak,,,Dadinhos de Tapioca with Jelly,,,,,,,Chocolate Mousse,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet & Sour Meatballs,5.00,,Tofu Steaks,,,,,,,,,,Grilled Pineapple w/ Cin. Sugar,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stuffed Peppers,,,,,,,,,,FREE COMPLIMENTARY COOKIES,FREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Radicchio Cups,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stuffed Eggplant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lentil Loaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Vegetable Lasagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Beef Lasagna ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Chicken Lasagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,_____ Deals _____,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Free Added Protein for Deluxe Churrasco or Higher,-6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,$19/pp Special,-5.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,_____ Brunch_____,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Quiche - Broccoli & Spinach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Quiche Bacon & Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eggs (Scrambled with Cheese),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bacon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
